Indicator Name,Country_Name,Country_Code,Region,IncomeGroup,1990_G,1990_C,1990_P,1991_G,1991_C,1991_P,1992_G,1992_C,1992_P,1993_G,1993_C,1993_P,1994_G,1994_C,1994_P,1995_G,1995_C,1995_P,1996_G,1996_C,1996_P,1997_G,1997_C,1997_P,1998_G,1998_C,1998_P,1999_G,1999_C,1999_P,2000_G,2000_C,2000_P,2001_G,2001_C,2001_P,2002_G,2002_C,2002_P,2003_G,2003_C,2003_P,2004_G,2004_C,2004_P,2005_G,2005_C,2005_P,2006_G,2006_C,2006_P,2007_G,2007_C,2007_P,2008_G,2008_C,2008_P,2009_G,2009_C,2009_P,2010_G,2010_C,2010_P,2011_G,2011_C,2011_P,2012_G,2012_C,2012_P,2013_G,2013_C,2013_P,2014_G,2014_C,2014_P,2015_G,2015_C,2015_P,2016_G,2016_C,2016_P,2017_G,2017_C,2017_P,2018_G,2018_C,2018_P,2019_G,2019_C,2019_P,2020_G,2020_C,2020_P
GDP per capita (current US$),Luxembourg,LUX,Europe & Central Asia,High income,"33,465.48",29.5535,"381,850","35,747.34",30.3705,"387,000","39,570.86",29.1592,"392,175","40,066.72",29.2982,"397,475","43,933.24",26.8303,"402,925","51,032.35",21.1928,"408,625","50,444.36",21.0919,"414,225","46,641.64",19.6500,"419,450","47,445.38",17.8138,"424,700","50,872.45",18.3990,"430,475","48,659.60",19.6120,"436,300","48,440.14",20.6523,"441,525","53,005.73",22.0055,"446,175","65,689.32",22.6770,"451,630","76,544.92",25.4528,"458,095","80,988.14",25.6104,"465,158","90,788.80",24.7911,"472,637","107,475.32",23.1553,"479,993","120,422.14",22.5570,"488,650","109,419.75",20.9788,"497,783","110,885.99",21.7557,"506,953","119,025.06",21.0415,"518,347","112,584.68",20.1489,"530,946","120,000.14",18.7229,"543,360","123,678.70",17.3339,"556,319","105,462.01",16.0346,"569,604","106,899.29",15.1988,"582,014","110,193.21",15.1031,"596,336","116,786.51",15.3315,"607,950","112,726.44",15.3230,"620,001","116,905.37",12.4570,"630,419"
GDP per capita (current US$),United Arab Emirates,ARE,Middle East & North Africa,High income,"26,682.85",29.0558,"1,900,151","25,668.49",30.6536,"2,008,383","25,630.08",28.2119,"2,116,231","25,019.37",28.6154,"2,223,284","25,463.50",30.3902,"2,329,024","27,010.68",30.8821,"2,433,988","28,596.51",30.5233,"2,572,735","28,709.25",29.6567,"2,746,119","25,905.84",28.5676,"2,921,130","27,261.91",27.6604,"3,097,563","31,855.50",25.8689,"3,275,333","29,909.01",28.1387,"3,454,198","30,221.97",27.2856,"3,633,655","32,607.37",27.2249,"3,813,443","37,017.74",27.5478,"3,993,339","42,190.55",27.2025,"4,280,993","45,339.59",24.8140,"4,898,954","43,918.38",22.4485,"5,872,624","45,140.77",22.3281,"6,988,685","31,722.59",19.6455,"7,992,644","35,392.26",19.1928,"8,481,771","42,078.61",19.4318,"8,575,205","44,386.79",20.2757,"8,664,969","45,729.61",21.1339,"8,751,847","46,865.96",21.1228,"8,835,951","41,525.14",21.9145,"8,916,899","41,054.54",22.2807,"8,994,263","43,063.97",21.1655,"9,068,296","46,722.27",19.0609,"9,140,169","45,376.17",20.1533,"9,211,657","37,629.17",20.2523,"9,287,289"
GDP per capita (current US$),Qatar,QAT,Middle East & North Africa,High income,"16,664.83",28.3996,"441,675","15,079.36",32.8269,"456,486","16,223.78",31.1433,"471,293","14,724.26",34.1835,"486,041","14,728.78",36.9316,"500,683","15,797.69",36.9763,"515,133","17,116.83",39.5683,"529,265","20,519.41",46.1188,"550,591","17,651.55",45.6159,"580,997","20,207.23",47.2889,"613,302","27,494.77",44.3793,"645,937","25,836.27",42.2058,"678,831","27,151.03",45.5647,"713,186","31,440.22",46.4169,"748,525","40,792.28",47.6570,"777,943","52,468.45",45.4061,"848,710","59,978.86",43.2886,"1,015,060","64,706.99",40.6095,"1,231,893","79,811.60",36.8899,"1,444,277","60,733.98",33.7273,"1,610,274","73,021.31",35.5483,"1,713,504","92,993.00",37.9795,"1,804,171","98,041.36",39.5821,"1,905,660","97,630.83",37.6029,"2,035,501","93,126.15",37.1050,"2,214,465","66,984.91",35.2904,"2,414,573","58,467.24",33.5496,"2,595,166","59,407.70",32.2566,"2,711,755","66,264.08",31.4810,"2,766,732","62,827.40",31.8772,"2,807,235","52,315.66",31.7268,"2,760,385"
GDP per capita (current US$),Estonia,EST,Europe & Central Asia,High income,,22.0147,"1,569,174",,20.4118,"1,561,314",,15.0093,"1,533,091",,12.2694,"1,494,128",,12.7764,"1,462,514","3,134.39",11.4839,"1,436,634","3,380.93",12.3482,"1,415,594","3,682.95",12.7603,"1,399,535","4,093.39",11.8513,"1,386,156","4,140.94",11.1400,"1,390,244","4,070.61",10.6891,"1,396,985","4,505.86",10.9729,"1,388,115","5,341.63",10.7261,"1,379,350","7,203.52",12.1702,"1,370,720","8,914.10",12.2968,"1,362,550","10,412.64",12.4063,"1,354,775","12,639.40",11.9467,"1,346,810","16,744.58",14.7431,"1,340,680","18,204.97",13.0743,"1,337,090","14,711.74",10.5266,"1,334,515","14,663.04",13.8947,"1,331,475","17,487.80",13.9386,"1,327,439","17,403.21",12.8442,"1,322,696","19,056.00",14.2993,"1,317,997","20,261.07",13.3848,"1,314,545","17,402.04",10.9298,"1,315,407","18,295.34",12.0895,"1,315,790","20,437.77",12.7324,"1,317,384","23,165.85",11.8889,"1,321,977","23,424.48",7.5821,"1,326,898","23,595.24",5.3384,"1,329,522"
GDP per capita (current US$),Bahrain,BHR,Middle East & North Africa,High income,"8,174.80",20.7520,"517,418","8,621.77",19.3243,"535,415","8,568.66",22.1333,"554,470","9,063.57",22.7732,"573,755","9,384.77",22.5401,"593,254","9,543.39",22.0837,"612,934","9,643.31",22.3704,"632,756","9,728.45",22.0883,"652,643","9,195.43",23.0324,"672,484","9,566.10",22.3236,"692,133","12,738.77",22.3159,"711,442","12,291.83",22.4391,"730,257","12,820.00",23.0134,"748,324","14,230.30",23.0568,"778,256","15,777.96",21.5097,"833,451","17,705.24",22.9440,"901,921","19,057.80",23.1574,"970,981","20,883.55",22.1050,"1,040,532","23,155.82",22.3014,"1,110,343","19,448.18",20.9564,"1,179,453","21,186.81",21.3948,"1,213,645","23,741.56",21.4653,"1,212,077","25,102.73",22.1841,"1,224,939","25,790.73",22.8688,"1,261,673","25,464.76",23.0966,"1,311,134","22,795.45",22.3856,"1,362,142","22,867.18",21.4953,"1,409,661","24,349.91",20.9460,"1,456,834","25,415.85",20.7380,"1,487,340","25,869.11",22.0634,"1,494,188","23,433.19",21.9769,"1,477,469"
GDP per capita (current US$),United States,USA,North America,High income,"23,888.60",19.4073,"249,623,000","24,342.26",19.0034,"252,981,000","25,418.99",19.0228,"256,514,000","26,387.29",19.2183,"259,919,000","27,694.85",19.2562,"263,126,000","28,690.88",19.2169,"266,278,000","29,967.71",19.5754,"269,394,000","31,459.14",20.3309,"272,657,000","32,853.68",20.2663,"275,854,000","34,515.39",20.1011,"279,040,000","36,329.96",20.4698,"282,162,411","37,133.62",20.1715,"284,968,955","37,997.76",19.4455,"287,625,193","39,490.27",19.5065,"290,107,933","41,724.63",19.5976,"292,805,298","44,123.41",19.4693,"295,516,599","46,302.00",18.9459,"298,379,912","48,050.22",19.0429,"301,231,207","48,570.05",18.2785,"304,093,966","47,194.94",16.8087,"306,771,529","48,650.64",17.4317,"309,327,143","50,065.97",16.6042,"311,583,481","51,784.42",15.7898,"313,877,662","53,291.13",16.1112,"316,059,947","55,123.85",16.0409,"318,386,329","56,762.73",15.5600,"320,738,994","57,866.74",15.1499,"323,071,755","59,907.75",14.8232,"325,122,128","62,823.31",15.2225,"326,838,199","65,120.39",14.6734,"328,329,953","63,528.63",13.0328,"331,511,512"
GDP per capita (current US$),Kuwait,KWT,Middle East & North Africa,High income,"11,002.07",17.3907,"1,674,938","8,219.48",5.8405,"1,339,500","12,253.58",14.2202,"1,620,633","14,477.95",18.5908,"1,653,645","15,141.30",22.3457,"1,641,106","16,424.98",21.8996,"1,655,222","18,488.84",20.9172,"1,703,318","17,230.06",21.1792,"1,761,468","14,258.36",23.1561,"1,819,544","16,044.49",24.3640,"1,877,427","19,493.89",25.7575,"1,934,901","17,517.71",26.7055,"1,991,674","18,626.77",27.1537,"2,047,364","22,781.08",27.6568,"2,101,506","27,601.40",28.7524,"2,153,481","36,144.99",31.2743,"2,235,403","42,970.70",30.6498,"2,363,409","45,729.80",28.1635,"2,506,769","55,595.48",28.6115,"2,650,930","37,906.21",27.7778,"2,795,550","39,212.58",27.4264,"2,943,356","49,010.31",26.4936,"3,143,825","51,271.07",25.1324,"3,394,663","47,762.80",23.9581,"3,646,518","43,239.84",22.7500,"3,761,584","29,315.20",22.7750,"3,908,743","27,026.69",22.5727,"4,048,085","29,258.27",21.9104,"4,124,904","32,012.19",21.4612,"4,317,185","30,666.24",21.1352,"4,441,100","24,297.71",21.1696,"4,360,444"
GDP per capita (current US$),Australia,AUS,East Asia & Pacific,High income,"18,248.94",15.4372,"17,065,128","18,859.41",15.3153,"17,284,036","18,623.79",15.3540,"17,478,635","17,699.56",15.4817,"17,634,808","18,129.40",15.7309,"17,805,468","20,448.12",16.1146,"18,004,882","22,021.78",16.4710,"18,224,767","23,646.62",16.7062,"18,423,037","21,479.11",17.6023,"18,607,584","20,712.67",17.7372,"18,812,264","21,870.42",17.8373,"19,028,802","19,695.73",17.9307,"19,274,701","20,301.84",18.1232,"19,495,210","23,718.13",17.8945,"19,720,737","30,836.73",18.3689,"19,932,722","34,479.77",18.2785,"20,176,844","36,595.71",18.2927,"20,450,966","41,051.61",18.4547,"20,827,622","49,701.28",18.2393,"21,249,199","42,816.57",18.1572,"21,691,653","52,147.02",17.9738,"22,031,750","62,609.66",17.6561,"22,340,024","68,078.04",17.4056,"22,733,465","68,198.42",16.7946,"23,128,129","62,558.24",16.1557,"23,475,686","56,758.87",16.1985,"23,815,995","49,918.79",16.3203,"24,190,907","53,954.55",16.1492,"24,592,588","57,273.52",15.8657,"24,963,258","55,049.57",15.5990,"25,334,826","51,868.25",14.7761,"25,649,248"
GDP per capita (current US$),Canada,CAN,North America,High income,"21,525.86",15.1490,"27,691,138","21,846.79",14.7410,"28,037,420","20,950.33",15.0281,"28,371,264","20,186.80",14.7133,"28,684,764","19,997.62",15.0605,"29,000,663","20,679.63",15.2905,"29,302,311","21,296.97",15.5926,"29,610,218","21,901.56",15.9438,"29,905,948","21,024.59",16.0766,"30,155,173","22,315.25",16.2585,"30,401,286","24,271.00",16.7575,"30,685,730","23,822.06",16.3314,"31,020,902","24,255.34",16.7204,"31,360,079","28,300.46",17.2084,"31,644,028","32,143.68",16.7942,"31,940,655","36,382.51",17.0276,"32,243,753","40,504.06",16.5952,"32,571,174","44,659.90",17.3806,"32,889,025","46,710.51",16.5594,"33,247,118","40,876.31",15.5045,"33,628,895","47,562.08",15.7945,"34,004,889","52,223.70",15.9983,"34,339,328","52,669.09",15.7368,"34,714,222","52,635.17",15.8408,"35,082,954","50,956.00",15.8522,"35,437,435","43,596.14",15.6499,"35,702,908","42,315.60",15.4218,"36,109,487","45,129.43",15.5472,"36,545,236","46,548.64",15.6367,"37,065,084","46,374.15",15.0527,"37,601,230","43,562.44",13.5994,"38,007,166"
GDP per capita (current US$),Czechia,CZE,Europe & Central Asia,High income,"3,941.50",14.8209,"10,333,355","2,896.61",13.5574,"10,308,578","3,372.87",13.2610,"10,319,123","3,956.18",12.6800,"10,329,855","4,630.55",12.1158,"10,333,587","5,824.12",12.0573,"10,327,253","6,532.84",12.4557,"10,315,241","6,034.49",12.2287,"10,304,131","6,489.70",11.6342,"10,294,373","6,337.42",10.9258,"10,283,860","6,029.04",12.1615,"10,255,063","6,637.04",12.1705,"10,216,605","8,060.87",11.7888,"10,196,916","9,818.57",12.1025,"10,193,998","11,749.85",12.1393,"10,197,101","13,430.67",11.9372,"10,211,216","15,261.80",11.9694,"10,238,905","18,466.55",12.0822,"10,298,828","22,804.58",11.4321,"10,384,603","19,861.70",10.8432,"10,443,936","19,960.07",10.8997,"10,474,410","21,871.27",10.5963,"10,496,088","19,870.80",10.2105,"10,510,785","20,133.17",9.7877,"10,514,272","19,890.92",9.4971,"10,525,347","17,829.70",9.5929,"10,546,059","18,575.23",9.7478,"10,566,332","20,636.20",9.7740,"10,594,438","23,424.48",9.6646,"10,629,928","23,664.85",9.1561,"10,671,870","22,992.88",8.3040,"10,697,858"
